id,lng,lat
245,-3.847627,51.658310
246,-3.838656,51.017435
247,-3.838022,53.275741
248,-3.833428,50.425411
249,-3.830680,53.321910
250,-3.829287,51.777178
251,-3.823333,52.003124
252,-3.822104,53.314214
253,-3.820553,51.668446
254,-3.819974,51.640223
255,-3.818239,53.293065
256,-3.818190,51.602252
257,-3.814805,51.675004
258,-3.809275,50.818004
259,-3.805871,50.246066
260,-3.804848,51.618713
261,-3.802364,51.659976
262,-3.800136,51.593861
263,-3.799289,52.598926
264,-3.797898,51.652868
265,-3.796805,53.139544
266,-3.794673,53.283341
267,-3.779670,51.654711
268,-3.776099,50.284691
269,-3.774762,51.593413
270,-3.773285,53.314694
271,-3.764099,50.953175
272,-3.762278,51.686307
273,-3.760601,50.510583
274,-3.758688,51.618032
275,-3.756694,51.574733
276,-3.753912,51.780768
277,-3.747157,53.309620
278,-3.736932,50.642178
279,-3.735014,50.396205
280,-3.729915,53.288274
281,-3.723582,53.292950
282,-3.714023,51.762928
283,-3.709197,51.486451
284,-3.704868,51.521711
285,-3.688379,50.275020
286,-3.686488,50.815401
287,-3.686267,51.484491
288,-3.685571,50.430599
289,-3.681649,51.531717
290,-3.679700,53.288273
291,-3.671719,50.567422
292,-3.657136,50.790647
293,-3.656958,51.631597
294,-3.652617,51.606223
295,-3.642862,51.595955
296,-3.639220,50.490679
297,-3.635992,51.652233
298,-3.630546,51.743808
299,-3.630286,50.524904
300,-3.623241,50.533802
301,-3.622016,50.407239
302,-3.620236,50.708787
303,-3.619566,50.599166
304,-3.612737,50.527291
305,-3.603030,50.529889
306,-3.601237,53.181585
307,-3.600225,52.908603
308,-3.599372,51.503054
309,-3.596585,51.513079
310,-3.594975,50.551079
311,-3.592770,51.547303
312,-3.592706,51.520580
313,-3.589650,50.351363
314,-3.588570,50.438306
315,-3.584033,54.529841
316,-3.583930,50.523784
317,-3.583687,54.547653
318,-3.582974,51.606284
319,-3.582465,53.285848
320,-3.579975,50.500806
321,-3.579440,51.542040
322,-3.578829,51.510736
323,-3.576312,50.438646
324,-3.573812,50.423664
325,-3.572921,51.521233
326,-3.567329,50.448995
327,-3.567205,54.542628
328,-3.567108,50.434765
329,-3.566267,51.464835
330,-3.565815,50.407399
331,-3.560407,51.508088
332,-3.559887,50.483971
333,-3.557689,54.578530
334,-3.557323,54.633284
335,-3.553787,50.729176
336,-3.553044,50.714244
337,-3.553026,50.467838
338,-3.547194,54.632734
339,-3.546311,51.509386
340,-3.543997,50.716172
341,-3.542143,50.550131
342,-3.542132,51.092448
343,-3.540488,51.603433
344,-3.540124,51.676227
345,-3.538136,50.476397
346,-3.538042,52.449304
347,-3.535081,54.485131
348,-3.534833,50.703405
349,-3.534263,50.467914
350,-3.534214,50.492754
351,-3.532539,50.724337
352,-3.531376,54.656364
353,-3.529235,54.630247
354,-3.527390,50.484216
355,-3.526030,50.739103
356,-3.523670,50.730651
357,-3.522296,50.472145
358,-3.522242,50.477206
359,-3.520854,50.385993
360,-3.520829,53.305043
361,-3.520040,50.718120
362,-3.516463,50.394702
363,-3.513007,50.464237
364,-3.512171,54.524692
365,-3.510247,51.660583
366,-3.508123,50.726982
367,-3.507871,54.444929
368,-3.505247,51.525597
369,-3.503797,50.548497
370,-3.503300,51.738235
371,-3.503250,50.738138
372,-3.502130,50.713887
